Vehicle_Lambda,GAMMA,VEHICLES,PROCESSED,PROCESSED AD,FAILED,AVG DELAY,MISMATCH P,AVG Q LENGTH,BLOCKING P
0.1,0.6396839493942148,10.333333333333334,10.333333333333334,5.027777777777778,989.6666666666666,46.934390609390604,0.4971675315425315,48.88152736878644,0.939722222222222
0.125,0.6844281848448361,12.444444444444445,12.444444444444445,6.166666666666667,987.5555555555555,50.69716399250713,0.49017815653845065,48.92598296518451,0.9376944444444444
0.15,0.7332373609213862,13.694444444444445,13.694444444444445,7.0,986.3055555555555,49.04422498936019,0.5149050880226846,48.99502005551015,0.9363888888888887
0.175,0.7853477407920932,16.555555555555557,16.555555555555557,8.722222222222221,983.4444444444445,51.291655417976614,0.5295377639619239,48.94566470022258,0.933611111111111
0.2,0.8406924057741136,20.5,20.5,9.666666666666666,979.5,47.97074958851405,0.47660864074663895,48.96828337834396,0.9296666666666668
0.225,0.8968884548476402,22.36111111111111,22.36111111111111,11.13888888888889,977.6388888888889,48.44006725617092,0.4938180570079369,48.977651703408725,0.9278333333333332
0.25,0.9482436842810301,25.86111111111111,25.86111111111111,12.944444444444445,974.1388888888889,48.55475010601539,0.5039975687229756,48.927248521221294,0.9243055555555555
0.2777,0.9762568760670145,28.666666666666668,28.666666666666668,13.722222222222221,971.3333333333334,49.31487490976567,0.47337866152006325,48.918027291654624,0.9218055555555554
